데이터필드명,타입
강제한도감액후경과월,Int
한도증액횟수_R12M,Int
한도증액금액_R12M,Int
한도증액후경과월,Int
상향가능한도금액,Int
상향가능CA한도금액,Int
카드론동의여부,Char
월상환론상향가능한도금액,Int
RV전환가능여부,Char
일시불ONLY전환가능여부,Char
카드이용한도금액_B1M,Int
카드이용한도금액_B2M,Int
특별한도보유여부_R3M,Char
연체감액여부_R3M,Char
최종이용일자_기본,Char
최종이용일자_신판,Char
최종이용일자_CA,Char
최종이용일자_카드론,Char
최종이용일자_체크,Char
최종이용일자_일시불,Char
최종이용일자_할부,Char
이용건수_신용_B0M,Int
이용건수_신판_B0M,Int
이용건수_일시불_B0M,Int
이용건수_할부_B0M,Int
이용건수_할부_유이자_B0M,Int
이용건수_할부_무이자_B0M,Int
이용건수_부분무이자_B0M,Int
이용건수_CA_B0M,Int
이용건수_체크_B0M,Int
이용건수_카드론_B0M,Int
이용금액_신용_B0M,Int
이용금액_신판_B0M,Int
이용금액_일시불_B0M,Int
이용금액_할부_B0M,Int
이용금액_할부_유이자_B0M,Int
이용금액_할부_무이자_B0M,Int
이용금액_부분무이자_B0M,Int
이용금액_CA_B0M,Int
이용금액_체크_B0M,Int
이용금액_카드론_B0M,Int
이용후경과월_신용,Int
이용후경과월_신판,Int
이용후경과월_일시불,Int
이용후경과월_할부,Int
이용후경과월_할부_유이자,Int
이용후경과월_할부_무이자,Int
이용후경과월_부분무이자,Int
이용후경과월_CA,Int
이용후경과월_체크,Int
이용후경과월_카드론,Int
이용건수_신용_R12M,Int
이용건수_신판_R12M,Int
이용건수_일시불_R12M,Int
이용건수_할부_R12M,Int
이용건수_할부_유이자_R12M,Int
이용건수_할부_무이자_R12M,Int
이용건수_부분무이자_R12M,Int
이용건수_CA_R12M,Int
이용건수_체크_R12M,Int
이용건수_카드론_R12M,Int
이용금액_신용_R12M,Int
이용금액_신판_R12M,Int
이용금액_일시불_R12M,Int
이용금액_할부_R12M,Int
이용금액_할부_유이자_R12M,Int
이용금액_할부_무이자_R12M,Int
이용금액_부분무이자_R12M,Int
이용금액_CA_R12M,Int
이용금액_체크_R12M,Int
이용금액_카드론_R12M,Int
최대이용금액_신용_R12M,Int
최대이용금액_신판_R12M,Int
최대이용금액_일시불_R12M,Int
최대이용금액_할부_R12M,Int
최대이용금액_할부_유이자_R12M,Int
최대이용금액_할부_무이자_R12M,Int
최대이용금액_부분무이자_R12M,Int
최대이용금액_CA_R12M,Int
최대이용금액_체크_R12M,Int
최대이용금액_카드론_R12M,Int
이용개월수_신용_R12M,Int
이용개월수_신판_R12M,Int
이용개월수_일시불_R12M,Int
이용개월수_할부_R12M,Int
이용개월수_할부_유이자_R12M,Int
이용개월수_할부_무이자_R12M,Int
이용개월수_부분무이자_R12M,Int
이용개월수_CA_R12M,Int
이용개월수_체크_R12M,Int
이용개월수_카드론_R12M,Int
이용건수_신용_R6M,Int
이용건수_신판_R6M,Int
이용건수_일시불_R6M,Int
이용건수_할부_R6M,Int
이용건수_할부_유이자_R6M,Int
이용건수_할부_무이자_R6M,Int
이용건수_부분무이자_R6M,Int
이용건수_CA_R6M,Int
이용건수_체크_R6M,Int
이용건수_카드론_R6M,Int
이용금액_신용_R6M,Int
이용금액_신판_R6M,Int
이용금액_일시불_R6M,Int
이용금액_할부_R6M,Int
이용금액_할부_유이자_R6M,Int
이용금액_할부_무이자_R6M,Int
이용금액_부분무이자_R6M,Int
이용금액_CA_R6M,Int
이용금액_체크_R6M,Int
이용금액_카드론_R6M,Int
이용개월수_신용_R6M,Int
이용개월수_신판_R6M,Int
이용개월수_일시불_R6M,Int
이용개월수_할부_R6M,Int
이용개월수_할부_유이자_R6M,Int
이용개월수_할부_무이자_R6M,Int
이용개월수_부분무이자_R6M,Int
이용개월수_CA_R6M,Int
이용개월수_체크_R6M,Int
이용개월수_카드론_R6M,Int
이용건수_신용_R3M,Int
이용건수_신판_R3M,Int
이용건수_일시불_R3M,Int
이용건수_할부_R3M,Int
이용건수_할부_유이자_R3M,Int
이용건수_할부_무이자_R3M,Int
이용건수_부분무이자_R3M,Int
이용건수_CA_R3M,Int
이용건수_체크_R3M,Int
이용건수_카드론_R3M,Int
이용금액_신용_R3M,Int
이용금액_신판_R3M,Int
이용금액_일시불_R3M,Int
이용금액_할부_R3M,Int
이용금액_할부_유이자_R3M,Int
이용금액_할부_무이자_R3M,Int
이용금액_부분무이자_R3M,Int
이용금액_CA_R3M,Int
이용금액_체크_R3M,Int
이용금액_카드론_R3M,Int
이용개월수_신용_R3M,Int
이용개월수_신판_R3M,Int
이용개월수_일시불_R3M,Int
이용개월수_할부_R3M,Int
이용개월수_할부_유이자_R3M,Int
이용개월수_할부_무이자_R3M,Int
이용개월수_부분무이자_R3M,Int
이용개월수_CA_R3M,Int
이용개월수_체크_R3M,Int
이용개월수_카드론_R3M,Int
이용가맹점수,Int
이용금액_업종기준,Int
이용금액_쇼핑,Int
이용금액_요식,Int
이용금액_교통,Int
이용금액_의료,Int
이용금액_납부,Int
이용금액_교육,Int
이용금액_여유생활,Int
이용금액_사교활동,Int
이용금액_일상생활,Int
이용금액_해외,Int
쇼핑_도소매_이용금액,Int
쇼핑_백화점_이용금액,Int
쇼핑_마트_이용금액,Int
쇼핑_슈퍼마켓_이용금액,Int
쇼핑_편의점_이용금액,Int
쇼핑_아울렛_이용금액,Int
쇼핑_온라인_이용금액,Int
쇼핑_기타_이용금액,Int
쇼핑_전체_이용금액,Int
교통_주유이용금액,Int
교통_정비이용금액,Int
교통_통행료이용금액,Int
교통_버스지하철이용금액,Int
교통_택시이용금액,Int
교통_철도버스이용금액,Int
교통_전체이용금액,Int
여유_운동이용금액,Int
여유_Pet이용금액,Int
여유_공연이용금액,Int
여유_공원이용금액,Int
여유_숙박이용금액,Int
여유_여행이용금액,Int
여유_항공이용금액,Int
여유_기타이용금액,Int
여유_전체이용금액,Int
납부_통신비이용금액,Int
납부_관리비이용금액,Int
납부_렌탈료이용금액,Int
납부_가스전기료이용금액,Int
납부_보험료이용금액,Int
납부_유선방송이용금액,Int
납부_건강연금이용금액,Int
납부_기타이용금액,Int
납부_전체이용금액,Int
_1순위업종,Char
_1순위업종_이용금액,Int
_3순위업종,Char
_3순위업종_이용금액,Int
_1순위쇼핑업종,Char
_1순위쇼핑업종_이용금액,Int
_3순위쇼핑업종,Char
_3순위쇼핑업종_이용금액,Int
_1순위교통업종,Char
_1순위교통업종_이용금액,Int
_3순위교통업종,Char
_3순위교통업종_이용금액,Int
_1순위여유업종,Char
_1순위여유업종_이용금액,Int
_3순위여유업종,Char
_3순위여유업종_이용금액,Int
_1순위납부업종,Char
_1순위납부업종_이용금액,Int
_3순위납부업종,Char
_3순위납부업종_이용금액,Int
할부건수_3M_R12M,Int
할부건수_6M_R12M,Int
할부건수_12M_R12M,Int
할부건수_14M_R12M,Int
할부금액_3M_R12M,Int
할부금액_6M_R12M,Int
할부금액_12M_R12M,Int
할부금액_14M_R12M,Int
할부건수_유이자_3M_R12M,Int
할부건수_유이자_6M_R12M,Int
할부건수_유이자_12M_R12M,Int
할부건수_유이자_14M_R12M,Int
할부금액_유이자_3M_R12M,Int
할부금액_유이자_6M_R12M,Int
할부금액_유이자_12M_R12M,Int
할부금액_유이자_14M_R12M,Int
할부건수_무이자_3M_R12M,Int
할부건수_무이자_6M_R12M,Int
할부건수_무이자_12M_R12M,Int
할부건수_무이자_14M_R12M,Int
할부금액_무이자_3M_R12M,Int
할부금액_무이자_6M_R12M,Int
할부금액_무이자_12M_R12M,Int
할부금액_무이자_14M_R12M,Int
할부건수_부분_3M_R12M,Int
할부건수_부분_6M_R12M,Int
할부건수_부분_12M_R12M,Int
할부건수_부분_14M_R12M,Int
할부금액_부분_3M_R12M,Int
할부금액_부분_6M_R12M,Int
할부금액_부분_12M_R12M,Int
할부금액_부분_14M_R12M,Int
RP건수_B0M,Int
RP금액_B0M,Int
RP유형건수_B0M,Int
RP건수_통신_B0M,Int
RP건수_아파트_B0M,Int
RP건수_제휴사서비스직접판매_B0M,Int
RP건수_렌탈_B0M,Int
RP건수_가스_B0M,Int
RP건수_전기_B0M,Int
RP건수_보험_B0M,Int
RP건수_학습비_B0M,Int
RP건수_유선방송_B0M,Int
RP건수_건강_B0M,Int
RP건수_교통_B0M,Int
RP후경과월,Int
RP후경과월_통신,Int
RP후경과월_아파트,Int
RP후경과월_제휴사서비스직접판매,Int
RP후경과월_렌탈,Int
RP후경과월_가스,Int
RP후경과월_전기,Int
RP후경과월_보험,Int
RP후경과월_학습비,Int
RP후경과월_유선방송,Int
RP후경과월_건강,Int
RP후경과월_교통,Int
최초카드론이용경과월,Int
최종카드론이용경과월,Int
카드론이용건수_누적,Int
카드론이용월수_누적,Int
카드론이용금액_누적,Int
최종카드론_금융상품코드,Char
최종카드론_금융상환방식코드,Char
최종카드론_신청경로코드,Char
최종카드론_대출이율,Num
최종카드론_대출일자,Char
최종카드론_대출월수,Int
최종카드론_거치개월수,Int
최종카드론_대출금액,Int
이용개월수_온라인_R6M,Int
이용개월수_오프라인_R6M,Int
이용금액_온라인_R6M,Int
이용금액_오프라인_R6M,Int
이용건수_온라인_R6M,Int
이용건수_오프라인_R6M,Int
이용금액_온라인_R3M,Int
이용금액_오프라인_R3M,Int
이용건수_온라인_R3M,Int
이용건수_오프라인_R3M,Int
이용금액_온라인_B0M,Int
이용금액_오프라인_B0M,Int
이용건수_온라인_B0M,Int
이용건수_오프라인_B0M,Int
이용개월수_페이_온라인_R6M,Int
이용개월수_페이_오프라인_R6M,Int
이용금액_페이_온라인_R6M,Int
이용금액_페이_오프라인_R6M,Int
이용건수_페이_온라인_R6M,Int
이용건수_페이_오프라인_R6M,Int
이용금액_페이_온라인_R3M,Int
이용금액_페이_오프라인_R3M,Int
이용건수_페이_온라인_R3M,Int
이용건수_페이_오프라인_R3M,Int
이용금액_페이_온라인_B0M,Int
이용금액_페이_오프라인_B0M,Int
이용건수_페이_온라인_B0M,Int
이용건수_페이_오프라인_B0M,Int
이용개월수_간편결제_R6M,Int
이용개월수_당사페이_R6M,Int
이용개월수_당사기타_R6M,Int
이용개월수_A페이_R6M,Int
이용개월수_B페이_R6M,Int
이용개월수_C페이_R6M,Int
이용개월수_D페이_R6M,Int
이용금액_간편결제_R6M,Int
이용금액_당사페이_R6M,Int
이용금액_당사기타_R6M,Int
이용금액_A페이_R6M,Int
이용금액_B페이_R6M,Int
이용금액_C페이_R6M,Int
이용금액_D페이_R6M,Int
이용건수_간편결제_R6M,Int
이용건수_당사페이_R6M,Int
이용건수_당사기타_R6M,Int
이용건수_A페이_R6M,Int
이용건수_B페이_R6M,Int
이용건수_C페이_R6M,Int
이용건수_D페이_R6M,Int
이용금액_간편결제_R3M,Int
이용금액_당사페이_R3M,Int
이용금액_당사기타_R3M,Int
이용금액_A페이_R3M,Int
이용금액_B페이_R3M,Int
이용금액_C페이_R3M,Int
이용금액_D페이_R3M,Int
이용건수_간편결제_R3M,Int
이용건수_당사페이_R3M,Int
이용건수_당사기타_R3M,Int
이용건수_A페이_R3M,Int
이용건수_B페이_R3M,Int
이용건수_C페이_R3M,Int
이용건수_D페이_R3M,Int
이용금액_간편결제_B0M,Int
이용금액_당사페이_B0M,Int
이용금액_당사기타_B0M,Int
이용금액_A페이_B0M,Int
이용금액_B페이_B0M,Int
이용금액_C페이_B0M,Int
이용금액_D페이_B0M,Int
이용건수_간편결제_B0M,Int
이용건수_당사페이_B0M,Int
이용건수_당사기타_B0M,Int
이용건수_A페이_B0M,Int
이용건수_B페이_B0M,Int
이용건수_C페이_B0M,Int
이용건수_D페이_B0M,Int
이용개월수_선결제_R6M,Int
이용횟수_선결제_R6M,Int
이용금액_선결제_R6M,Int
이용건수_선결제_R6M,Int
이용횟수_선결제_R3M,Int
이용금액_선결제_R3M,Int
이용건수_선결제_R3M,Int
이용횟수_선결제_B0M,Int
이용금액_선결제_B0M,Int
이용건수_선결제_B0M,Int
이용횟수_연체_R6M,Int
이용금액_연체_R6M,Int
이용횟수_연체_R3M,Int
이용금액_연체_R3M,Int
이용횟수_연체_B0M,Int
이용금액_연체_B0M,Int
이용개월수_전체_R6M,Int
이용개월수_전체_R3M,Int
이용개월수_결제일_R6M,Int
이용개월수_결제일_R3M,Int
가맹점매출금액_B1M,Int
가맹점매출금액_B2M,Int
정상청구원금_B0M,Int
선입금원금_B0M,Int
정상입금원금_B0M,Int
연체입금원금_B0M,Int
정상청구원금_B2M,Int
선입금원금_B2M,Int
정상입금원금_B2M,Int
연체입금원금_B2M,Int
정상청구원금_B5M,Int
선입금원금_B5M,Int
정상입금원금_B5M,Int
연체입금원금_B5M,Int
건수_할부전환_R6M,Int
건수_할부전환_R3M,Int
금액_할부전환_R6M,Int
금액_할부전환_R3M,Int
연속무실적개월수_기본_24M_카드,Int
연속유실적개월수_기본_24M_카드,Int
신청건수_ATM_CA_B0,Int
신청건수_ATM_CL_B0,Int
신청건수_ATM_CA_R6M,Int
신청건수_ATM_CL_R6M,Int
이용금액대,Char
대표결제일,Char
대표결제은행코드,Char
대표결제방법코드,Char
대표청구지고객주소구분코드,Char
대표청구서수령지구분코드,Char
청구서수령방법,Char
청구서발송여부_B0,Char
청구서발송여부_R3M,Char
청구서발송여부_R6M,Char
청구금액_B0,Int
청구금액_R3M,Int
청구금액_R6M,Int
포인트_마일리지_건별_B0M,Int
포인트_마일리지_건별_R3M,Int
포인트_포인트_건별_B0M,Int
포인트_포인트_건별_R3M,Int
포인트_마일리지_월적립_B0M,Int
포인트_마일리지_월적립_R3M,Int
포인트_포인트_월적립_B0M,Int
포인트_포인트_월적립_R3M,Int
포인트_적립포인트_R12M,Int
포인트_적립포인트_R3M,Int
포인트_이용포인트_R12M,Int
포인트_이용포인트_R3M,Int
포인트_잔여포인트_B0M,Int
마일_적립포인트_R12M,Int
마일_적립포인트_R3M,Int
마일_이용포인트_R12M,Int
마일_이용포인트_R3M,Int
마일_잔여포인트_B0M,Int
할인건수_R3M,Int
할인금액_R3M,Int
할인건수_B0M,Int
할인금액_B0M,Int
할인금액_청구서_R3M,Int
할인금액_청구서_B0M,Int
혜택수혜금액_R3M,Int
포인트_마일리지_환산_B0M,Int
혜택수혜금액,Int
잔액_B0M,Int
잔액_일시불_B0M,Int
잔액_할부_B0M,Int
잔액_현금서비스_B0M,Int
잔액_리볼빙일시불이월_B0M,Int
잔액_리볼빙CA이월_B0M,Int
잔액_카드론_B0M,Int
월중평잔_일시불_B0M,Int
월중평잔_할부_B0M,Int
월중평잔_CA_B0M,Int
카드론잔액_최종경과월,Int
연체일자_B0M,Char
연체잔액_B0M,Int
연체잔액_일시불_B0M,Int
연체잔액_할부_B0M,Int
연체잔액_현금서비스_B0M,Int
연체잔액_카드론_B0M,Int
연체잔액_대환론_B0M,Int
잔액_현금서비스_B1M,Int
잔액_현금서비스_B2M,Int
잔액_카드론_B1M,Int
잔액_카드론_B2M,Int
잔액_카드론_B3M,Int
잔액_카드론_B4M,Int
잔액_카드론_B5M,Int
잔액_할부_B1M,Int
잔액_할부_B2M,Int
잔액_일시불_B1M,Int
잔액_일시불_B2M,Int
연체일수_B1M,Int
연체일수_B2M,Int
연체원금_B1M,Int
연체원금_B2M,Int
연체일수_최근,Int
연체원금_최근,Int
최종연체회차,Int
매각잔액_B1M,Int
최종연체개월수_R15M,Int
RV_평균잔액_R12M,Int
RV_최대잔액_R12M,Int
RV_평균잔액_R6M,Int
RV_최대잔액_R6M,Int
RV_평균잔액_R3M,Int
RV_최대잔액_R3M,Int
잔액_신판평균한도소진율_r6m,Num
잔액_신판최대한도소진율_r6m,Num
잔액_신판평균한도소진율_r3m,Num
잔액_신판최대한도소진율_r3m,Num
잔액_신판ca평균한도소진율_r6m,Num
잔액_신판ca최대한도소진율_r6m,Num
잔액_신판ca평균한도소진율_r3m,Num
잔액_신판ca최대한도소진율_r3m,Num
인입횟수_ARS_R6M,Int
이용메뉴건수_ARS_R6M,Int
인입일수_ARS_R6M,Int
인입월수_ARS_R6M,Int
인입후경과월_ARS,Int
인입횟수_ARS_B0M,Int
이용메뉴건수_ARS_B0M,Int
인입일수_ARS_B0M,Int
방문횟수_PC_R6M,Int
방문일수_PC_R6M,Int
방문월수_PC_R6M,Int
방문후경과월_PC_R6M,Int
방문횟수_앱_R6M,Int
방문일수_앱_R6M,Int
방문월수_앱_R6M,Int
방문후경과월_앱_R6M,Int
방문횟수_모바일웹_R6M,Int
방문일수_모바일웹_R6M,Int
방문월수_모바일웹_R6M,Int
방문후경과월_모바일웹_R6M,Int
방문횟수_PC_B0M,Int
방문일수_PC_B0M,Int
방문횟수_앱_B0M,Int
방문일수_앱_B0M,Int
방문횟수_모바일웹_B0M,Int
방문일수_모바일웹_B0M,Int
인입횟수_IB_R6M,Int
인입횟수_금융_IB_R6M,Int
인입일수_IB_R6M,Int
인입월수_IB_R6M,Int
이용메뉴건수_IB_R6M,Int
인입후경과월_IB_R6M,Int
인입횟수_IB_B0M,Int
인입일수_IB_B0M,Int
이용메뉴건수_IB_B0M,Int
인입불만횟수_IB_R6M,Int
인입불만일수_IB_R6M,Int
인입불만월수_IB_R6M,Int
인입불만후경과월_IB_R6M,Int
인입불만횟수_IB_B0M,Int
인입불만일수_IB_B0M,Int
상담건수_B0M,Int
IB문의건수_사용승인내역_B0M,Int
IB문의건수_한도_B0M,Int
IB문의건수_선결제_B0M,Int
IB문의건수_결제_B0M,Int
IB문의건수_할부_B0M,Int
IB문의건수_정보변경_B0M,Int
IB문의건수_결제일변경_B0M,Int
IB문의건수_명세서_B0M,Int
IB문의건수_비밀번호_B0M,Int
IB문의건수_SMS_B0M,Int
IB문의건수_APP_B0M,Int
IB문의건수_부대서비스_B0M,Int
IB문의건수_포인트_B0M,Int
IB문의건수_카드발급_B0M,Int
IB문의건수_BL_B0M,Int
IB문의건수_분실도난_B0M,Int
IB문의건수_CA_B0M,Int
IB문의건수_CL_RV_B0M,Int
IB문의건수_CS_B0M,Int
IB상담건수_VOC_B0M,Int
IB상담건수_VOC민원_B0M,Int
IB상담건수_VOC불만_B0M,Int
IB상담건수_금감원_B0M,Int
IB문의건수_사용승인내역_R6M,Int
IB문의건수_한도_R6M,Int
IB문의건수_선결제_R6M,Int
IB문의건수_결제_R6M,Int
IB문의건수_할부_R6M,Int
IB문의건수_정보변경_R6M,Int
IB문의건수_결제일변경_R6M,Int
IB문의건수_명세서_R6M,Int
IB문의건수_비밀번호_R6M,Int
IB문의건수_SMS_R6M,Int
IB문의건수_APP_R6M,Int
IB문의건수_부대서비스_R6M,Int
IB문의건수_포인트_R6M,Int
IB문의건수_카드발급_R6M,Int
IB문의건수_BL_R6M,Int
IB문의건수_분실도난_R6M,Int
IB문의건수_CA_R6M,Int
IB문의건수_CL_RV_R6M,Int
IB문의건수_CS_R6M,Int
IB상담건수_VOC_R6M,Int
IB상담건수_VOC민원_R6M,Int
IB상담건수_VOC불만_R6M,Int
IB상담건수_금감원_R6M,Int
불만제기건수_B0M,Int
불만제기건수_R12M,Int
불만제기후경과월_R12M,Int
당사멤버쉽_방문횟수_B0M,Int
당사멤버쉽_방문횟수_R6M,Int
당사멤버쉽_방문월수_R6M,Int
단말기모델명,Char
OS구분코드,Char
OS버전값,Char
홈페이지_금융건수_R6M,Int
홈페이지_선결제건수_R6M,Int
홈페이지_금융건수_R3M,Int
홈페이지_선결제건수_R3M,Int
컨택건수_카드론_TM_B0M,Int
컨택건수_리볼빙_TM_B0M,Int
컨택건수_CA_TM_B0M,Int
컨택건수_이용유도_TM_B0M,Int
컨택건수_신용발급_TM_B0M,Int
컨택건수_부대서비스_TM_B0M,Int
컨택건수_포인트소진_TM_B0M,Int
컨택건수_보험_TM_B0M,Int
컨택건수_카드론_LMS_B0M,Int
컨택건수_CA_LMS_B0M,Int
컨택건수_리볼빙_LMS_B0M,Int
컨택건수_이용유도_LMS_B0M,Int
컨택건수_카드론_EM_B0M,Int
컨택건수_CA_EM_B0M,Int
컨택건수_리볼빙_EM_B0M,Int
컨택건수_이용유도_EM_B0M,Int
컨택건수_카드론_청구서_B0M,Int
컨택건수_CA_청구서_B0M,Int
컨택건수_리볼빙_청구서_B0M,Int
컨택건수_이용유도_청구서_B0M,Int
컨택건수_카드론_인터넷_B0M,Int
컨택건수_CA_인터넷_B0M,Int
컨택건수_리볼빙_인터넷_B0M,Int
컨택건수_이용유도_인터넷_B0M,Int
컨택건수_카드론_당사앱_B0M,Int
컨택건수_CA_당사앱_B0M,Int
컨택건수_리볼빙_당사앱_B0M,Int
컨택건수_이용유도_당사앱_B0M,Int
컨택건수_카드론_TM_R6M,Int
컨택건수_CA_TM_R6M,Int
컨택건수_리볼빙_TM_R6M,Int
컨택건수_이용유도_TM_R6M,Int
컨택건수_신용발급_TM_R6M,Int
컨택건수_부대서비스_TM_R6M,Int
컨택건수_포인트소진_TM_R6M,Int
컨택건수_보험_TM_R6M,Int
컨택건수_카드론_LMS_R6M,Int
컨택건수_CA_LMS_R6M,Int
컨택건수_리볼빙_LMS_R6M,Int
컨택건수_이용유도_LMS_R6M,Int
컨택건수_카드론_EM_R6M,Int
컨택건수_CA_EM_R6M,Int
컨택건수_리볼빙_EM_R6M,Int
컨택건수_이용유도_EM_R6M,Int
컨택건수_카드론_청구서_R6M,Int
컨택건수_CA_청구서_R6M,Int
컨택건수_리볼빙_청구서_R6M,Int
컨택건수_이용유도_청구서_R6M,Int
컨택건수_카드론_인터넷_R6M,Int
컨택건수_CA_인터넷_R6M,Int
컨택건수_리볼빙_인터넷_R6M,Int
컨택건수_이용유도_인터넷_R6M,Int
컨택건수_카드론_당사앱_R6M,Int
컨택건수_CA_당사앱_R6M,Int
컨택건수_리볼빙_당사앱_R6M,Int
컨택건수_이용유도_당사앱_R6M,Int
컨택건수_채권_B0M,Int
컨택건수_FDS_B0M,Int
컨택건수_채권_R6M,Int
컨택건수_FDS_R6M,Int
고객구분,Char
rv최초시작후경과일,Int
증감율_이용건수_신용_전월,Num
증감율_이용건수_신판_전월,Num
증감율_이용건수_일시불_전월,Num
증감율_이용건수_할부_전월,Num
증감율_이용건수_CA_전월,Num
증감율_이용건수_체크_전월,Num
증감율_이용건수_카드론_전월,Num
증감율_이용금액_신용_전월,Num
증감율_이용금액_신판_전월,Num
증감율_이용금액_일시불_전월,Num
증감율_이용금액_할부_전월,Num
증감율_이용금액_CA_전월,Num
증감율_이용금액_체크_전월,Num
증감율_이용금액_카드론_전월,Num
증감율_이용건수_신용_분기,Num
증감율_이용건수_신판_분기,Num
증감율_이용건수_일시불_분기,Num
증감율_이용건수_할부_분기,Num
증감율_이용건수_CA_분기,Num
증감율_이용건수_체크_분기,Num
증감율_이용건수_카드론_분기,Num
증감율_이용금액_신용_분기,Num
증감율_이용금액_신판_분기,Num
증감율_이용금액_일시불_분기,Num
증감율_이용금액_할부_분기,Num
증감율_이용금액_CA_분기,Num
증감율_이용금액_체크_분기,Num
증감율_이용금액_카드론_분기,Num
변동률_일시불평잔,Num
변동률_RV일시불평잔,Num
변동률_할부평잔,Num
변동률_CA평잔,Num
변동률_RVCA평잔,Num
변동률_카드론평잔,Num
변동률_잔액_B1M,Num
변동률_잔액_일시불_B1M,Num
변동률_잔액_CA_B1M,Num
당사PAY_방문월수_R6M,Int
당사PAY_방문횟수_B0M,Int
당사PAY_방문횟수_R6M,Int
